dataset,iteration,model,n_steps,n_hidden_layers,time,baseline,baseline_time
FASHION,4,ParaLIF,20,0,3.7612076250079554,LeNet,3.0115354580048006
FASHION,4,LIF,20,1,7.774481000000378,LeNet,3.0115354580048006
FASHION,4,ParaLIF,20,1,4.763644749997184,LeNet,3.0115354580048006
FASHION,4,LIF,20,2,11.134456875006435,LeNet,3.0115354580048006
FASHION,4,ParaLIF,20,2,5.737097583012655,LeNet,3.0115354580048006
FASHION,4,LIF,20,3,15.46203266698285,LeNet,3.0115354580048006
FASHION,4,ParaLIF,20,3,6.9941463750146795,LeNet,3.0115354580048006
FASHION,4,LIF,30,0,4.010610208002618,LeNet,3.0115354580048006
FASHION,4,ParaLIF,30,0,3.5571625829907134,LeNet,3.0115354580048006
FASHION,4,LIF,30,1,9.30756499999552,LeNet,3.0115354580048006
FASHION,4,ParaLIF,30,1,6.04351575000328,LeNet,3.0115354580048006
FASHION,4,LIF,30,2,16.208737625012873,LeNet,3.0115354580048006
FASHION,4,ParaLIF,30,2,8.719875709008193,LeNet,3.0115354580048006
FASHION,4,LIF,30,3,22.06388204099494,LeNet,3.0115354580048006
FASHION,4,ParaLIF,30,3,9.88727987499442,LeNet,3.0115354580048006
FASHION,4,LIF,50,0,4.599273416009964,LeNet,3.0115354580048006
FASHION,4,ParaLIF,50,0,4.001540958008263,LeNet,3.0115354580048006
FASHION,4,LIF,50,1,14.410845542006427,LeNet,3.0115354580048006
FASHION,4,ParaLIF,50,1,10.58113179198699,LeNet,3.0115354580048006
FASHION,4,LIF,50,2,25.33807575001265,LeNet,3.0115354580048006
FASHION,4,ParaLIF,50,2,14.73833745898446,LeNet,3.0115354580048006
FASHION,4,LIF,50,3,34.6930347919988,LeNet,3.0115354580048006
FASHION,4,ParaLIF,50,3,16.5860373339965,LeNet,3.0115354580048006
FASHION,4,LIF,100,0,6.053603666980052,LeNet,3.0115354580048006
FASHION,4,ParaLIF,100,0,3.430745749996277,LeNet,3.0115354580048006
FASHION,4,LIF,100,1,25.440144708001753,LeNet,3.0115354580048006
FASHION,4,ParaLIF,100,1,20.72785245900741,LeNet,3.0115354580048006
FASHION,4,LIF,100,2,43.94622579202405,LeNet,3.0115354580048006
FASHION,4,ParaLIF,100,2,28.742966541991336,LeNet,3.0115354580048006
FASHION,4,LIF,100,3,61.14704937499482,LeNet,3.0115354580048006
FASHION,4,ParaLIF,100,3,32.608391124987975,LeNet,3.0115354580048006
MNIST,0,LIF,5,0,2.6710860840103123,LeNet,3.452522792009404
MNIST,0,ParaLIF,5,0,3.1402003330003936,LeNet,3.452522792009404
MNIST,0,LIF,5,1,3.912528500019107,LeNet,3.452522792009404
MNIST,0,ParaLIF,5,1,3.382950041006552,LeNet,3.452522792009404
MNIST,0,LIF,5,2,4.579005167004652,LeNet,3.452522792009404
MNIST,0,ParaLIF,5,2,3.4750945839914493,LeNet,3.452522792009404
MNIST,0,LIF,5,3,5.955398292018799,LeNet,3.452522792009404
MNIST,0,ParaLIF,5,3,3.9044228330021724,LeNet,3.452522792009404
MNIST,0,LIF,10,0,3.048523875011597,LeNet,3.452522792009404
MNIST,0,ParaLIF,10,0,3.1502545830153394,LeNet,3.452522792009404
MNIST,0,LIF,10,1,4.637684707995504,LeNet,3.452522792009404
MNIST,0,ParaLIF,10,1,3.2735937499965075,LeNet,3.452522792009404
MNIST,0,LIF,10,2,6.759808415983571,LeNet,3.452522792009404
MNIST,0,ParaLIF,10,2,3.6697353339986876,LeNet,3.452522792009404
MNIST,0,LIF,10,3,8.351399209001102,LeNet,3.452522792009404
MNIST,0,ParaLIF,10,3,3.920128666999517,LeNet,3.452522792009404
